pattern,support_high_pct,support_low_pct,difference,group
"External,StudyMaterial,External,Discussion",35.72,0.0,35.72,High
"StudyMaterial,External,External,Discussion",34.64,0.0,34.64,High
"Discussion,Navigation,Discussion,External",34.48,0.0,34.48,High
"Discussion,Navigation,External,Navigation",33.97,0.0,33.97,High
"External,External,StudyMaterial,Discussion",33.73,0.0,33.73,High
"Discussion,External,Discussion,Navigation",33.62,0.0,33.62,High
"External,Discussion,External",33.57,0.0,33.57,High
"External,External,Navigation,Navigation",33.5,0.0,33.5,High
"Discussion,External,Discussion,Discussion",32.97,0.0,32.97,High
"Discussion,Navigation,External,Discussion",32.95,0.0,32.95,High
"Discussion,Quiz",0.0,30.94,-30.94,Low
